boroct2020,geoid,borough,nta,tract,risk_score,priority_score,archetype,units_res,at_risk_units,estimated_protected_units_per_1m,evictions,displacement_pressure_raw,market_heat_raw,stock_vuln_raw,early_risk_score
1017700,36061017700,Manhattan,Upper West Side (Central),177,78.5,99.5,Preserve,5725,5316.0,317.0,54.0,9.43231441048035,110775.63441048034,112.48739495798327,81.6
1012700,36061012700,Manhattan,Hell's Kitchen,127,99.9,99.4,Preserve,4596,4100.0,245.0,184.0,40.034812880765884,137633.20604873804,108.63250883392243,99.4
1009300,36061009300,Manhattan,Chelsea-Hudson Yards,93,82.6,99.4,Preserve,4963,4930.0,294.0,48.0,9.671569615152125,163370.30344549668,132.8958333333337,88.6
1015900,36061015900,Manhattan,Upper West Side-Lincoln Square,159,63.3,99.3,Preserve,6468,6276.0,374.0,36.0,5.565862708719852,180025.8658008658,121.91499999999996,65.2
3003300,36047003300,Brooklyn,Fort Greene,33,83.6,99.3,Preserve,5011,4756.0,283.0,54.0,10.77629215725404,134415.59548992218,115.74793388429771,86.3
1019300,36061019300,Manhattan,Upper West Side-Manhattan Valley,193,93.0,99.2,Preserve,4780,4208.0,250.0,97.0,20.292887029288703,82825.58242677824,107.3710691823901,87.1
1018700,36061018700,Manhattan,Upper West Side-Manhattan Valley,187,90.5,99.2,Preserve,4533,4309.0,256.0,69.0,15.221707478491066,108628.84469446282,116.03311258278154,91.2
1000700,36061000700,Manhattan,Financial District-Battery Park City,7,77.4,99.1,Preserve,9132,4841.0,288.0,120.0,13.140604467805518,161964.67783618046,91.03846153846166,70.1
1003400,36061003400,Manhattan,East Village,34,89.0,99.1,Preserve,4677,4332.0,258.0,65.0,13.897797733589908,139065.62369039984,112.3159722222224,90.8
1017100,36061017100,Manhattan,Upper West Side (Central),171,75.8,99.1,Preserve,5080,4966.0,295.0,39.0,7.677165354330708,161256.79881889763,123.73595505618005,80.2
1000600,36061000600,Manhattan,Chinatown-Two Bridges,6,89.8,99.0,Preserve,5233,4151.0,247.0,90.0,17.198547678196064,117289.17389642652,101.68503937007881,85.9
1023000,36061023000,Manhattan,Harlem (North),230,99.4,99.0,Preserve,4051,3765.0,224.0,297.0,73.3152308072081,51365.54949395211,112.59482758620675,99.0
1011800,36061011800,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,118,67.2,98.9,Preserve,6313,5464.0,324.0,43.0,6.811341675906858,176004.1241881831,106.19841269841277,69.7
1021600,36061021600,Manhattan,Harlem (South),216,99.5,98.9,Preserve,3946,3737.0,222.0,158.0,40.040547389761784,71970.70729853016,115.35046728971952,98.7
1013300,36061013300,Manhattan,Hell's Kitchen,133,95.1,98.8,Preserve,4651,3748.0,222.0,105.0,22.57579015265534,161482.7295205332,102.2828282828284,94.7
1018300,36061018300,Manhattan,Upper West Side (Central),183,86.6,98.8,Preserve,4763,4148.0,246.0,62.0,13.017006088599622,130044.19483518791,106.5714285714289,87.0
1007300,36061007300,Manhattan,West Village,73,82.8,98.7,Preserve,4250,4239.0,251.0,41.0,9.647058823529411,178784.53788235295,139.19191919191917,90.2
1018100,36061018100,Manhattan,Upper West Side (Central),181,72.2,98.7,Preserve,4792,4602.0,273.0,36.0,7.512520868113523,126938.06740400668,118.68023255813955,70.1
1012400,36061012400,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,124,63.9,98.7,Preserve,6673,5314.0,315.0,46.0,6.893451221339727,149265.1539037914,101.80769230769238,57.3
1019100,36061019100,Manhattan,Upper West Side-Manhattan Valley,191,70.1,98.6,Preserve,5012,4721.0,279.0,38.0,7.581803671189146,98810.63328012769,114.14201183431965,64.6
1022500,36061022500,Manhattan,Hamilton Heights-Sugar Hill,225,94.5,98.6,Preserve,3736,3494.0,207.0,145.0,38.811563169164884,46148.23875802998,113.26404494382041,92.9
1006600,36061006600,Manhattan,Murray Hill-Kips Bay,66,74.8,98.5,Preserve,7174,4390.0,259.0,81.0,11.290772233063842,117796.26944521884,94.23664122137393,74.8
1016900,36061016900,Manhattan,Upper West Side (Central),169,66.0,98.5,Preserve,5049,4976.0,294.0,31.0,6.1398296692414345,147097.54644484055,128.29084967320273,77.0
1021100,36061021100,Manhattan,Morningside Heights,211,77.7,98.4,Preserve,5024,4215.0,249.0,57.0,11.345541401273884,68587.47511942674,104.219178082192,84.8
1009000,36061009000,Manhattan,East Midtown-Turtle Bay,90,70.7,98.4,Preserve,6379,4637.0,274.0,53.0,8.308512306004076,165836.34362752782,98.67272727272712,79.4
1016100,36061016100,Manhattan,Upper West Side (Central),161,77.2,98.3,Preserve,4236,4198.0,248.0,33.0,7.790368271954674,186779.71860245513,131.82965299684565,78.0
1016600,36061016600,Manhattan,East Harlem (South),166,97.8,98.3,Preserve,3548,3215.0,190.0,114.0,32.13077790304396,70501.22125140924,109.68205128205113,97.0
1006500,36061006500,Manhattan,Greenwich Village,65,86.9,98.2,Preserve,3677,3611.0,213.0,42.0,11.422355180853957,162472.55806363883,125.93854748603371,91.4
1019500,36061019500,Manhattan,Upper West Side-Manhattan Valley,195,84.9,98.2,Preserve,4005,3659.0,216.0,48.0,11.985018726591761,110844.05393258427,110.59420289855075,69.9
1024100,36061024100,Manhattan,Washington Heights (South),241,95.3,98.2,Preserve,3552,3288.0,194.0,124.0,34.909909909909906,51075.498592342345,112.24175824175836,94.8
1025300,36061025300,Manhattan,Washington Heights (South),253,88.1,98.1,Preserve,3971,3517.0,207.0,182.0,45.83228405943087,39295.51246537396,107.64285714285711,84.5
1008000,36061008000,Manhattan,Murray Hill-Kips Bay,80,74.2,98.1,Preserve,4242,4154.0,245.0,32.0,7.5436115040075435,151341.93611504007,124.28571428571445,74.6
1022900,36061022900,Manhattan,Hamilton Heights-Sugar Hill,229,96.3,98.0,Preserve,3474,3183.0,187.0,151.0,43.465745538284395,48542.28123200921,111.01874999999995,95.5
1026100,36061026100,Manhattan,Washington Heights (South),261,85.6,98.0,Preserve,3801,3570.0,210.0,255.0,67.0876085240726,36094.47250723494,113.85815602836874,84.6
1007700,36061007700,Manhattan,West Village,77,75.0,97.9,Preserve,4006,3988.0,234.0,30.0,7.488766849725412,173774.46205691464,135.35514018691606,86.8
1014402,36061014402,Manhattan,Upper East Side-Yorkville,144.02,73.9,97.9,Preserve,4452,4116.0,242.0,35.0,7.861635220125786,130577.10601976639,112.08762886597924,72.1
1017500,36061017500,Manhattan,Upper West Side (Central),175,56.9,97.8,Preserve,5339,5152.0,302.0,23.0,4.30792283199101,173522.15527252294,120.30555555555566,58.2
1008100,36061008100,Manhattan,Chelsea-Hudson Yards,81,59.4,97.8,Preserve,5768,4964.0,291.0,32.0,5.547850208044383,171097.21012482664,105.89237668161445,61.2
1022800,36061022800,Manhattan,Harlem (North),228,99.4,97.8,Preserve,3140,2934.0,172.0,168.0,53.503184713375795,57173.95477707007,112.97360703812319,98.2
1001800,36061001800,Manhattan,Lower East Side,18,86.3,97.7,Preserve,3805,3355.0,197.0,47.0,12.35216819973719,144202.22049934298,107.5353982300885,85.3
1017000,36061017000,Manhattan,East Harlem (South),170,90.1,97.7,Preserve,4073,3225.0,189.0,118.0,28.971274245028237,49398.83059170145,101.63888888888869,91.5
1009100,36061009100,Manhattan,Chelsea-Hudson Yards,91,76.2,97.6,Preserve,4937,3760.0,220.0,46.0,9.317399230301803,178319.8377557221,100.41843971631192,79.3
1023200,36061023200,Manhattan,Harlem (North),232,95.6,97.6,Preserve,3559,2988.0,175.0,236.0,66.31076144984546,43677.816802472604,104.2393162393164,94.1
1023100,36061023100,Manhattan,Hamilton Heights-Sugar Hill,231,96.6,97.5,Preserve,2974,2880.0,168.0,160.0,53.79959650302623,44758.801277740415,121.4099616858241,94.6
1004100,36061004100,Manhattan,SoHo-Little Italy-Hudson Square,41,73.7,97.5,Preserve,4116,3788.0,222.0,32.0,7.774538386783284,135729.37706511177,111.57633587786245,80.5
1007200,36061007200,Manhattan,Murray Hill-Kips Bay,72,57.4,97.4,Preserve,5922,4814.0,281.0,33.0,5.572441742654508,144456.56484295847,102.69230769230762,61.9
1008900,36061008900,Manhattan,Chelsea-Hudson Yards,89,89.7,97.4,Preserve,3125,3090.0,181.0,41.0,13.12,182918.4256,129.95000000000005,89.8
1004900,36061004900,Manhattan,SoHo-Little Italy-Hudson Square,49,85.3,97.3,Preserve,3226,3201.0,187.0,33.0,10.229386236825789,459393.18381897087,132.20161290322608,82.1
1022000,36061022000,Manhattan,Harlem (South),220,96.8,97.3,Preserve,2891,2818.0,165.0,76.0,26.288481494292633,73713.26911103424,123.0028985507247,94.5
1023501,36061023501,Manhattan,Hamilton Heights-Sugar Hill,235.01,97.7,97.3,Preserve,2967,2814.0,164.0,142.0,47.8597910347152,49567.46545331985,115.56687898089194,96.6
1006700,36061006700,Manhattan,West Village,67,78.1,97.2,Preserve,3506,3470.0,202.0,29.0,8.27153451226469,154099.5784369652,130.81308411214968,81.8
1014000,36061014000,Manhattan,Upper East Side-Carnegie Hill,140,64.3,97.2,Preserve,4745,4195.0,245.0,29.0,6.111696522655427,242453.8611169652,107.58984375,73.9
3082200,36047082200,Brooklyn,East Flatbush-Erasmus,822,96.4,97.1,Preserve,4035,2792.0,163.0,275.0,68.15365551425032,49881.41833952912,97.13304721030045,94.2
1022700,36061022700,Manhattan,Hamilton Heights-Sugar Hill,227,98.2,97.1,Preserve,2782,2718.0,158.0,112.0,40.2588066139468,53990.65600287563,123.72923076923075,97.2
1022600,36061022600,Manhattan,Harlem (North),226,98.1,97.0,Preserve,2879,2709.0,158.0,130.0,45.15456755817993,52388.97499131643,114.05487804878044,96.4
1023700,36061023700,Manhattan,Hamilton Heights-Sugar Hill,237,94.7,97.0,Preserve,2966,2799.0,163.0,141.0,47.53877275792313,43826.4012137559,114.41304347826076,93.9
1019900,36061019900,Manhattan,Morningside Heights,199,65.5,96.9,Preserve,4325,4008.0,233.0,31.0,7.167630057803468,84585.83514450867,112.36036036036035,70.6
1000800,36061000800,Manhattan,Chinatown-Two Bridges,8,71.7,96.9,Preserve,3952,3682.0,214.0,40.0,10.121457489878543,54868.56072874494,112.87662337662323,66.5
1022400,36061022400,Manhattan,Harlem (North),224,97.1,96.9,Preserve,3245,2693.0,157.0,128.0,39.44530046224962,55865.81171032358,103.66137566137559,97.6
1018200,36061018200,Manhattan,East Harlem (North),182,97.6,96.8,Preserve,3155,2661.0,155.0,131.0,41.521394611727416,55686.428209191756,104.44262295081967,98.1
1002800,36061002800,Manhattan,East Village,28,89.1,96.8,Preserve,4198,2882.0,167.0,79.0,18.81848499285374,104736.44354454502,96.9140625,89.3
1014602,36061014602,Manhattan,Upper East Side-Yorkville,146.02,63.8,96.7,Preserve,5680,4010.0,233.0,43.0,7.570422535211268,131222.66390845072,97.81428571428569,78.4
1003900,36061003900,Manhattan,Tribeca-Civic Center,39,76.1,96.7,Preserve,3526,3345.0,194.0,27.0,7.657402155416903,343259.84288145206,115.61931818181847,86.1
3031500,36047031500,Brooklyn,Crown Heights (North),315,97.1,96.6,Preserve,2673,2585.0,150.0,79.0,29.55480733258511,64872.0860456416,121.14985590778087,97.8
1017200,36061017200,Manhattan,East Harlem (South),172,96.8,96.6,Preserve,2942,2586.0,150.0,96.0,32.63086335825969,61491.68898708362,107.29834254143634,96.9
1008700,36061008700,Manhattan,Chelsea-Hudson Yards,87,65.4,96.5,Preserve,4487,3745.0,217.0,30.0,6.685981724983285,186891.32404724762,103.86111111111131,75.7
1023300,36061023300,Manhattan,Hamilton Heights-Sugar Hill,233,97.2,96.5,Preserve,2801,2535.0,147.0,113.0,40.342734737593716,52218.92252766869,109.6470588235295,94.7
1026500,36061026500,Manhattan,Washington Heights (North),265,93.0,96.4,Preserve,2953,2551.0,148.0,115.0,38.94344734168642,45038.66000677277,106.0563380281692,93.6
1018800,36061018800,Manhattan,East Harlem (North),188,99.7,96.4,Preserve,2661,2413.0,140.0,158.0,59.37617437053739,60413.40210447201,109.8122605363983,98.7
1029100,36061029100,Manhattan,Inwood,291,81.6,96.4,Preserve,3940,2987.0,173.0,253.0,64.21319796954316,36345.861421319794,100.21359223300965,78.1
1016300,36061016300,Manhattan,Upper West Side (Central),163,57.1,96.3,Preserve,4243,4102.0,237.0,18.0,4.242281404666509,211586.7209521565,121.00526315789489,61.3
1009700,36061009700,Manhattan,Chelsea-Hudson Yards,97,83.3,96.3,Preserve,3142,2828.0,163.0,36.0,11.457670273711011,105269.88733290897,109.21276595744689,85.0
1026300,36061026300,Manhattan,Washington Heights (South),263,92.9,96.2,Preserve,2926,2519.0,145.0,171.0,58.44155844155844,41426.60628844839,105.91666666666674,91.8
1027100,36061027100,Manhattan,Washington Heights (North),271,90.7,96.2,Preserve,3070,2579.0,149.0,122.0,39.73941368078176,42605.524755700324,104.26136363636351,88.7
1020800,36061020800,Manhattan,Harlem (North),208,98.0,96.1,Preserve,2696,2381.0,137.0,143.0,53.04154302670623,51299.62982195846,107.560606060606,97.5
1016500,36061016500,Manhattan,Upper West Side (Central),165,56.6,96.1,Preserve,4170,4118.0,237.0,17.0,4.07673860911271,177406.0793764988,129.39024390243912,56.1
3019900,36047019900,Brooklyn,Clinton Hill,199,87.8,96.0,Preserve,2753,2634.0,152.0,36.0,13.076643661460226,113627.27351979658,117.31636363636358,82.3
4020800,36081020800,Queens,Jamaica,208,93.3,96.0,Preserve,3391,2478.0,143.0,107.0,31.554113830728397,56580.964907107045,98.86684782608722,49.5
1004800,36061004800,Manhattan,Gramercy,48,56.7,96.0,Preserve,4282,4089.0,236.0,20.0,4.670714619336758,142157.03643157403,116.64974619289364,56.4
1012200,36061012200,Manhattan,Upper East Side-Carnegie Hill,122,76.8,95.9,Preserve,3023,2973.0,171.0,23.0,7.608336089976844,456196.63579225936,126.4434782608696,79.5
1014802,36061014802,Manhattan,Upper East Side-Carnegie Hill,148.02,66.2,95.9,Preserve,4288,3467.0,199.0,30.0,6.996268656716418,198738.10237873133,102.39130434782601,64.7
1006300,36061006300,Manhattan,Greenwich Village,63,54.5,95.8,Preserve,4168,4127.0,237.0,15.0,3.598848368522073,196308.5321497121,131.14012738853512,56.6
1005000,36061005000,Manhattan,Gramercy,50,64.5,95.8,Preserve,3656,3529.0,203.0,21.0,5.743982494529541,174337.9816739606,120.31404958677672,68.5
1004300,36061004300,Manhattan,SoHo-Little Italy-Hudson Square,43,90.1,95.7,Preserve,2672,2471.0,142.0,37.0,13.847305389221557,264530.66167664673,112.09392265193355,94.0
1022301,36061022301,Manhattan,Manhattanville-West Harlem,223.01,94.2,95.7,Preserve,2552,2374.0,136.0,112.0,43.8871473354232,44067.2025862069,112.85087719298235,91.9
3016300,36047016300,Brooklyn,Prospect Heights,163,79.3,95.6,Preserve,2766,2757.0,158.0,24.0,8.676789587852495,139324.7903109183,137.26299694189606,84.0
2037900,36005037900,Bronx,Mount Hope,379,96.9,95.6,Preserve,2475,2230.0,128.0,200.0,80.80808080808082,43287.09090909091,109.25179856115119,95.8
1011500,36061011500,Manhattan,Hell's Kitchen,115,87.4,95.5,Preserve,3595,2460.0,141.0,55.0,15.2990264255911,188864.4478442281,96.7777777777776,70.7
3031300,36047031300,Brooklyn,Crown Heights (North),313,96.9,95.5,Preserve,2290,2225.0,127.0,82.0,35.80786026200873,53012.68864628821,122.16809116809122,98.5
1011100,36061011100,Manhattan,Chelsea-Hudson Yards,111,84.6,95.5,Preserve,4072,2549.0,146.0,66.0,16.208251473477407,110682.23035363457,94.63157894736833,80.8
1005800,36061005800,Manhattan,Midtown South-Flatiron-Union Square,58,79.2,95.4,Preserve,2832,2691.0,154.0,24.0,8.474576271186441,255766.4699858757,115.859375,82.0
3007700,36047007700,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,77,71.5,95.4,Preserve,3209,3007.0,172.0,24.0,7.47896540978498,132110.98286070427,113.5697074010327,69.6
3007500,36047007500,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,75,43.3,95.3,Produce,5158,4919.0,281.0,6.0,1.1632415664986429,108199.43291973633,116.3695937090431,45.8
1007100,36061007100,Manhattan,West Village,71,61.5,95.3,Preserve,3530,3462.0,198.0,18.0,5.09915014164306,193622.23937677054,125.06201550387595,67.2
1021303,36061021303,Manhattan,Manhattanville-West Harlem,213.03,91.6,95.2,Preserve,2596,2308.0,132.0,107.0,41.217257318952235,42296.01502311248,108.12962962962956,88.0
1027900,36061027900,Manhattan,Washington Heights (North),279,63.7,95.2,Preserve,4231,3316.0,189.0,225.0,53.17891751359017,33183.75088631529,101.32673267326709,55.1
3012902,36047012902,Brooklyn,Park Slope,129.02,83.2,95.1,Preserve,2538,2467.0,141.0,26.0,10.24428684003152,149733.21315996847,122.21070234113722,76.5
1012800,36061012800,Manhattan,Upper East Side-Carnegie Hill,128,53.4,95.1,Preserve,3967,3853.0,220.0,13.0,3.277035543231661,289014.11267960677,122.11344537815125,58.0
1008800,36061008800,Manhattan,Murray Hill-Kips Bay,88,45.2,95.1,Produce,8820,4632.0,264.0,46.0,5.215419501133787,118277.67857142857,90.89795918367349,43.7
1003300,36061003300,Manhattan,Tribeca-Civic Center,33,60.3,95.0,Preserve,3423,3403.0,194.0,16.0,4.674262342973999,425550.35086181713,133.1992337164752,51.9
1021900,36061021900,Manhattan,Manhattanville-West Harlem,219,83.5,95.0,Preserve,2692,2450.0,140.0,62.0,23.031203566121842,43496.209881129274,110.34782608695673,82.1
3032100,36047032100,Brooklyn,Crown Heights (South),321,97.9,94.9,Preserve,2378,2079.0,118.0,116.0,48.78048780487805,52758.99873843566,106.8493150684933,98.3
1024700,36061024700,Manhattan,Washington Heights (South),247,87.6,94.9,Preserve,2582,2322.0,132.0,79.0,30.596436870642915,42247.44810224632,109.16666666666674,84.7
1013700,36061013700,Manhattan,Midtown-Times Square,137,53.1,94.8,Preserve,6480,3811.0,217.0,39.0,6.018518518518518,310921.2512345679,93.3472222222224,60.9
1010601,36061010601,Manhattan,East Midtown-Turtle Bay,106.01,51.8,94.8,Preserve,5723,3906.0,222.0,29.0,5.067272409575398,188926.66486108684,96.71764705882356,59.8
3079802,36047079802,Brooklyn,Prospect Lefferts Gardens-Wingate,798.02,88.4,94.7,Preserve,2726,2281.0,130.0,100.0,36.68378576669112,41643.89361702128,103.97979797979792,88.1
1019400,36061019400,Manhattan,East Harlem (North),194,93.9,94.7,Preserve,2904,2147.0,122.0,114.0,39.256198347107436,50869.54579889807,99.4363636363637,91.6
3051400,36047051400,Brooklyn,Flatbush,514,83.0,94.6,Preserve,2744,2378.0,135.0,98.0,35.714285714285715,38855.68002915452,106.26347305389231,79.7
3038100,36047038100,Brooklyn,Bedford-Stuyvesant (East),381,95.3,94.6,Preserve,2216,2059.0,117.0,73.0,32.94223826714802,52440.74864620939,112.52184466019435,94.2
1001600,36061001600,Manhattan,Chinatown-Two Bridges,16,82.2,94.6,Preserve,2601,2414.0,137.0,28.0,10.765090349865437,117644.40215301808,112.41588785046724,78.9
1016700,36061016700,Manhattan,Upper West Side (Central),167,52.7,94.5,Preserve,3863,3722.0,211.0,13.0,3.365260160497023,197403.57934247993,119.50967741935483,55.0
1020600,36061020600,Manhattan,East Harlem (North),206,99.5,94.5,Preserve,2296,1962.0,111.0,128.0,55.749128919860624,61316.5862369338,105.30803571428555,99.2
3000900,36047000900,Brooklyn,Brooklyn Heights,9,68.7,94.4,Preserve,2899,2823.0,160.0,19.0,6.553984132459468,162988.63366678165,122.68468468468473,63.9
3024500,36047024500,Brooklyn,Bedford-Stuyvesant (West),245,98.7,94.4,Preserve,2101,1968.0,111.0,73.0,34.74535935268919,73301.28891004284,113.5513833992095,99.1
3020100,36047020100,Brooklyn,Clinton Hill,201,88.7,94.3,Preserve,2175,2152.0,122.0,29.0,13.333333333333334,111159.63126436781,130.50727650727686,88.2
1007800,36061007800,Manhattan,Murray Hill-Kips Bay,78,52.2,94.3,Preserve,6544,3657.0,207.0,44.0,6.723716381418092,127307.13462713937,92.34545454545446,62.7
1020000,36061020000,Manhattan,Harlem (South),200,98.8,94.2,Preserve,1949,1922.0,109.0,62.0,31.81118522319138,79957.52693689072,128.36326530612246,97.8
3033900,36047033900,Brooklyn,Crown Heights (North),339,97.5,94.2,Preserve,2057,1949.0,110.0,70.0,34.03014098201264,57994.710743801654,115.37837837837833,96.0
3036900,36047036900,Brooklyn,Ocean Hill,369,99.3,94.2,Preserve,2272,1920.0,109.0,178.0,78.34507042253522,53120.90052816901,104.53370786516871,99.3
3032900,36047032900,Brooklyn,Prospect Lefferts Gardens-Wingate,329,91.0,94.1,Preserve,2407,2078.0,117.0,120.0,49.85459077690071,40769.454507685914,106.05078125,91.2
3006500,36047006500,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,65,72.3,94.1,Preserve,2741,2615.0,148.0,20.0,7.296607077708866,184809.177307552,116.63968668407324,66.2
1025700,36061025700,Manhattan,Harlem (South),257,95.2,94.0,Preserve,2197,1979.0,112.0,52.0,23.668639053254438,84677.37141556668,109.23952095808409,95.1
3030500,36047030500,Brooklyn,Crown Heights (North),305,86.7,94.0,Preserve,4118,2174.0,123.0,89.0,21.612433220009713,96793.59883438563,90.94943820224717,87.7
3119800,36047119800,Brooklyn,East New York (North),1198,97.0,93.9,Preserve,2326,1936.0,109.0,101.0,43.422184006878766,53524.39552880482,103.73611111111131,96.6
3034300,36047034300,Brooklyn,Crown Heights (North),343,93.9,93.9,Preserve,2031,1994.0,112.0,65.0,32.00393894633186,48278.73018217627,125.57261410788396,96.8
1030900,36061030900,Manhattan,Kingsbridge-Marble Hill,309,78.6,93.8,Preserve,3269,2369.0,133.0,163.0,49.862343224227594,36589.24839400428,98.62032085561509,79.8
1026900,36061026900,Manhattan,Washington Heights (North),269,72.8,93.8,Preserve,2748,2531.0,142.0,148.0,53.857350800582246,33727.15065502183,111.59999999999991,67.6
3037300,36047037300,Brooklyn,Ocean Hill,373,99.6,93.8,Preserve,1942,1850.0,104.0,94.0,48.40370751802266,62759.06797116375,116.33168316831689,99.6
1022200,36061022200,Manhattan,Harlem (South),222,96.2,93.7,Preserve,2148,1906.0,107.0,52.0,24.208566108007446,105903.0656424581,107.95631067961153,95.3
1017800,36061017800,Manhattan,East Harlem (North),178,97.3,93.7,Preserve,1958,1864.0,105.0,88.0,44.9438202247191,49376.28447395301,116.15178571428555,97.4
3021500,36047021500,Brooklyn,Prospect Heights,215,86.0,93.6,Preserve,2824,2100.0,118.0,45.0,15.93484419263456,79463.5566572238,99.64539007092208,84.4
3038300,36047038300,Brooklyn,Bedford-Stuyvesant (East),383,99.1,93.6,Preserve,1892,1819.0,102.0,70.0,36.99788583509514,69621.63054968287,118.92332789559555,99.6
1006400,36061006400,Manhattan,Gramercy,64,53.3,93.5,Preserve,5840,3369.0,189.0,38.0,6.506849315068493,150613.48801369863,93.0078125,63.0
3024900,36047024900,Brooklyn,Bedford-Stuyvesant (West),249,98.7,93.5,Preserve,1814,1804.0,101.0,58.0,31.97353914002205,76456.95369349504,133.93167701863354,99.1
3007100,36047007100,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,71,94.8,93.4,Preserve,1855,1851.0,104.0,40.0,21.563342318059302,76426.15956873316,140.5364806866953,93.3
3082000,36047082000,Brooklyn,East Flatbush-Erasmus,820,95.5,93.4,Preserve,2550,1838.0,103.0,163.0,63.92156862745098,47096.23529411765,98.41666666666674,94.3
1011600,36061011600,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,116,93.8,93.3,Preserve,2243,1869.0,105.0,51.0,22.737405260811414,86159.25635309854,103.75862068965512,94.3
3022700,36047022700,Brooklyn,Bedford-Stuyvesant (West),227,84.8,93.3,Preserve,3322,2069.0,116.0,57.0,17.15833835039133,95341.31366646598,94.54656862745128,83.1
1013000,36061013000,Manhattan,Upper East Side-Carnegie Hill,130,59.5,93.3,Preserve,3015,2942.0,165.0,14.0,4.643449419568823,478506.6580431177,123.3901345291481,73.0
3081800,36047081800,Brooklyn,East Flatbush-Erasmus,818,94.7,93.2,Preserve,2651,1840.0,103.0,104.0,39.23047906450396,55327.36476801207,97.22685185185196,92.7
3021900,36047021900,Brooklyn,Crown Heights (North),219,87.9,93.2,Preserve,2135,1985.0,111.0,31.0,14.519906323185012,80541.15128805621,112.83928571428555,89.8
5000700,36085000700,Staten Island,St. George-New Brighton,7,87.0,93.1,Preserve,2351,1993.0,111.0,176.0,74.86176095278604,36857.7243726074,104.78181818181838,84.5
1008300,36061008300,Manhattan,Chelsea-Hudson Yards,83,94.1,93.1,Preserve,1983,1851.0,103.0,35.0,17.650025214321733,184526.4548663641,112.93670886075961,96.4
3015900,36047015900,Brooklyn,Park Slope,159,62.5,93.0,Preserve,2778,2767.0,154.0,15.0,5.399568034557235,157596.24118070555,136.39717741935488,51.7
1025500,36061025500,Manhattan,Washington Heights (South),255,98.3,93.0,Preserve,2251,1759.0,98.0,77.0,34.207019102621054,107060.41759218126,101.22448979591832,95.9
1020102,36061020102,Manhattan,Harlem (South),201.02,99.0,92.9,Preserve,1819,1714.0,96.0,60.0,32.985156679494224,91402.60472787246,114.17213114754077,97.1
3043700,36047043700,Brooklyn,Bushwick (East),437,99.3,92.9,Preserve,1856,1706.0,95.0,74.0,39.87068965517242,70062.90032327586,111.32366071428555,97.9
3026700,36047026700,Brooklyn,Bedford-Stuyvesant (West),267,94.9,92.9,Preserve,1851,1802.0,100.0,44.0,23.77093462992977,68360.51539708267,122.56702898550725,98.7
